Delivery Number: 5, Reason: Missing Weight
Delivery Number: 7, Reason: Missing Priority
Delivery Number: 78, Reason: Missing Area
Delivery Number: 89, Reason: Weight cannot be zero or negative
Delivery Number: 105, Reason: Missing Priority
Delivery Number: 123, Reason: Weight cannot be zero or negative
Delivery Number: 125, Reason: Weight cannot be zero or negative
Delivery Number: 136, Reason: Missing Area
Delivery Number: 139, Reason: Weight cannot be zero or negative
Delivery Number: 144, Reason: Missing Weight
Delivery Number: 162, Reason: Missing Weight
Delivery Number: 165, Reason: Missing Area
Delivery Number: 174, Reason: Weight cannot be zero or negative
Delivery Number: 183, Reason: Weight cannot be zero or negative
Delivery Number: 213, Reason: Missing Priority
Delivery Number: 221, Reason: Missing Area
Delivery Number: 226, Reason: Missing Priority
Delivery Number: 227, Reason: Missing Priority
Delivery Number: 231, Reason: Missing Weight
Delivery Number: 233, Reason: Weight exceeds capacity
Delivery Number: 238, Reason: Weight cannot be zero or negative
Delivery Number: 265, Reason: Missing Priority
Delivery Number: 276, Reason: Weight exceeds capacity
Delivery Number: 288, Reason: Weight cannot be zero or negative
Delivery Number: 299, Reason: Missing Priority
Delivery Number: 315, Reason: Missing Weight
Delivery Number: 316, Reason: Weight cannot be zero or negative
Delivery Number: 326, Reason: Missing Area
Delivery Number: 344, Reason: Missing Weight
Delivery Number: 364, Reason: Missing Area
Delivery Number: 367, Reason: Weight cannot be zero or negative
Delivery Number: 378, Reason: Missing Area
Delivery Number: 389, Reason: Missing Priority
Delivery Number: 427, Reason: Weight exceeds capacity
Delivery Number: 431, Reason: Weight exceeds capacity
Delivery Number: 437, Reason: Weight cannot be zero or negative
Delivery Number: 450, Reason: Missing Priority
Delivery Number: 453, Reason: Weight exceeds capacity
Delivery Number: 462, Reason: Weight cannot be zero or negative
Delivery Number: 468, Reason: Weight cannot be zero or negative
Delivery Number: 473, Reason: Weight exceeds capacity
Delivery Number: 475, Reason: Weight cannot be zero or negative
Delivery Number: 481, Reason: Weight cannot be zero or negative
Delivery Number: 508, Reason: Missing Priority
Delivery Number: 509, Reason: Missing Area
Delivery Number: 517, Reason: Missing Area
Delivery Number: 519, Reason: Weight cannot be zero or negative
Delivery Number: 521, Reason: Missing Priority
Delivery Number: 525, Reason: Weight exceeds capacity
Delivery Number: 529, Reason: Weight cannot be zero or negative
Delivery Number: 535, Reason: Weight cannot be zero or negative
Delivery Number: 558, Reason: Weight cannot be zero or negative
Delivery Number: 582, Reason: Weight exceeds capacity
Delivery Number: 591, Reason: Weight cannot be zero or negative
Delivery Number: 595, Reason: Weight cannot be zero or negative
Delivery Number: 598, Reason: Missing Priority
Delivery Number: 599, Reason: Weight cannot be zero or negative
Delivery Number: 600, Reason: Missing Area
Delivery Number: 654, Reason: Weight cannot be zero or negative
Delivery Number: 664, Reason: Missing Weight
Delivery Number: 667, Reason: Missing Weight
Delivery Number: 675, Reason: Missing Priority
Delivery Number: 679, Reason: Weight cannot be zero or negative
Delivery Number: 682, Reason: Missing Area
Delivery Number: 726, Reason: Weight cannot be zero or negative
Delivery Number: 727, Reason: Weight cannot be zero or negative
Delivery Number: 733, Reason: Missing Weight
Delivery Number: 772, Reason: Weight cannot be zero or negative
Delivery Number: 774, Reason: Weight exceeds capacity
Delivery Number: 775, Reason: Missing Priority
Delivery Number: 783, Reason: Missing Area
Delivery Number: 796, Reason: Missing Area
Delivery Number: 804, Reason: Weight cannot be zero or negative
Delivery Number: 807, Reason: Weight cannot be zero or negative
Delivery Number: 818, Reason: Weight cannot be zero or negative
Delivery Number: 827, Reason: Missing Weight
Delivery Number: 839, Reason: Weight cannot be zero or negative
Delivery Number: 854, Reason: Weight cannot be zero or negative
Delivery Number: 855, Reason: Weight cannot be zero or negative
Delivery Number: 879, Reason: Missing Priority
Delivery Number: 885, Reason: Weight exceeds capacity
Delivery Number: 898, Reason: Missing Weight
Delivery Number: 900, Reason: Weight exceeds capacity
Delivery Number: 911, Reason: Missing Area
Delivery Number: 912, Reason: Missing Priority
Delivery Number: 939, Reason: Weight exceeds capacity
